Title	Budget	Box_Office	Star1	Star2	Star3	Star_num1	Star_num2	Star_num3	Name	Year	Run_Time	Genre	Director_num	Writer_num	Average_Rating	Num_Voters	Story_Line	Ratio
tt0427969	28000000	16800438	Adrien Brody	Ben Affleck	Diane Lane	nm0004778	nm0000255	nm0000178	Hollywoodland	2006	126	"Biography,Crime,Drama"	nm0002339	nm0076602	6.5	31701	"Struggling private investigator Louis Simo treats his work more as a means to make a living than a want to do right by what few clients he has. Through connections with the investigation firm for which he used to work, Simo is hired by Helen Bessolo to investigate the death of her son, actor George Reeves. Reeves was best known for his title role in Adventures of Superman (1952), a role which he always despised, in part since it typecast him as a ""cartoon"", despite it bringing him a certain fame. His June 16, 1959 death by a single gunshot wound while in his bedroom in his Los Angeles home was ruled a suicide by the police, the death which occurred when the house was filled with people. Reeves' story is told in part in flashback as Simo, who is trying to make a name for himself with this case, talks to or tries to talk to some of the players involved, most specifically the wife of MGM General Manager E.J. Mannix, Toni Mannix, with whom Reeves was having a relatively open and ..."	-0.399984379
tt2668134	30000000	18010317	Yû Aoi	Jessica Boone	Ayano Fukuda	nm1066974	nm1365209	nm5038813	Harlock: Space Pirate	2013	115	"Adventure,Animation,Sci-Fi"	nm0032925	"nm0559535,nm1593790,nm1887932"	6.4	10989	"2977: For many years a mighty battle has been raging across the galaxies as 500 billion humans, whose forebears were exiled from Earth, plan to return to what is still called home. Forced to flee a ravaged Earth, humans have now depleted the corners of the galaxy to which they fled. Earth has now become the most valued and precious resource of all, controlled by the corrupt Gaia Coalition which governs the human race across the different galaxies. Having been exiled and vilified during the battle of the Homecoming War, Captain Harlock and his trusted crew of the Arcadia battle cruiser are the only hope mankind has of discovering the secrets that the Gaia have kept hidden. The Coalition has demanded Harlock's death and the Gaia Fleet's new leader, Ezra, calls on his younger brother, Logan, to infiltrate the Arcadia and then assassinate Harlock, thus forever eradicating the one man standing between the Coalition and their complete control of the Universe. Logan must make a very personal..."	-0.39965612
tt2937898	20000000	12007070	Oscar Isaac	Jessica Chastain	David Oyelowo	nm1209966	nm1567113	nm0654648	A Most Violent Year	2014	125	"Crime,Drama,Thriller"	nm1170855	nm1170855	7	61311	"A crime drama set in New York City during the winter of 1981, statistically one of the most violent years in the city's history, and centered on the lives of an immigrant and his family trying to expand their business and capitalize on opportunities as the rampant violence, decay, and corruption of the day drag them in and threaten to destroy all they have built."	-0.39964653
tt1105734	1933724	1161457	Birgitte Victoria Svendsen	Ane Dahl Torp	Bjørn Floberg	nm0841021	nm1335996	nm0282463	Cold Lunch	2008	90	Drama	\N	\N	5	810	"Christer (27) is on his way to work when a seagull shits on his shirt. Down in the Laundromat in the basement he suddenly remembers that all his rent money is in his shirt pocket. In an attempt to save the money, he takes out the main fuse of the building to stop the washing machine. When the superintendent puts the fuse back in, an old man in an apartment above clumsily changes fuses in his own fuse-cabinet. The man dies immediately. His daughter, Leni (40) has lived completely isolated with her father. Now she is alone for the first time of her life. When fresh first-time mother Heidi (30) is down to get her laundry, she notices that all the machines have stopped. She is in a hurry and has to grab the clothes all wet. Without knowing it, Christer has started the inevitable."	-0.399368059
tt0819785	2500000	1501707	Leon Lai	Rene Liu	Bingbing Fan	nm0481709	nm0515002	nm1549063	The Matrimony	2007	91	"Drama,Horror,Thriller"	nm1589702	"nm2310115,nm0946042"	5.4	315	"A woman finds the key to a room in the attic that her husband forbids her from entering. When she opens the door, she is confronted with the haunting existence of the woman her husband refuses to forget."	-0.39931744
tt0968294	1549235	931017	Ronja Arvilommi	Laura Malmivaara	Janne Virtanen	nm2714728	nm0540264	nm0899455	Stormheart	2008	95	"Drama,Family"	nm0711551	"nm0711551,nm0712061"	4.9	241	"The father of a Finnish family brings home a cute puppy, Stormheart. No one in the family knows anything about the dog. Little by little, the mystery of Stormheart unravels and the dog's new owners learn more about him. They find out that Stormheart's parents had served as guard dogs at the Berlin Wall. Pearl, the 7-year-old daughter of the Finnish family, takes the puppy under her wing and Stormheart, who grows up to the size of a bear, undertakes the task of removing all dangers, threats and obstacles from the path of Pearl."	-0.39904766
tt0286179	5600000	3369654	Angela Bassett	Edie Falco	Alex Lewis	nm0000291	nm0004908	nm0506902	Sunshine State	2002	141	"Drama,Romance"	nm0000626	nm0000626	6.8	3719	"Real estate developers descend upon a sleepy coastal Florida community with the promise of big money and bigger changes. Torn between honoring family obligations and the lure of quick cash, the locals greet the outsiders with a wildly mixed reception. Marly Temple is eager to give in and sell the family business to start over her life. As caretaker of her father's motel and cafe, she has grown resentful of missed opportunities. However, she finds a glimmer of hope in a tentative romance with a visiting landscape architect. Desiree Perry left town many years ago to escape a scandal and make a name for herself as an actress. Reluctantly returning home, she finds her strong willed mother unwilling to let go of the past."	-0.398276179
tt0396223	200000	120488	Will Swenson	Kirby Heyborne	Danny Tarasevich	nm0842451	nm1109458	nm1533193	Sons of Provo	2004	93	"Comedy,Music"	nm0842451	"nm1533585,nm0842451"	5.8	346	"Will, Kirby, and Danny are the hottest new sensation in Mormon pop music! Will is an aerobics instructor, Danny is a student of eastern philosophy, and Kirby is a scrapbooking specialist. Together, they make up the band ""Everclean"" and they have taken the Mormon boy band scene by storm. Sons of Provo chronicles the struggles and successes of a group of boys fighting to become the most spiritual Mormon boy band in history."	-0.397563012
tt2101341	30000000	18074539	Colin Farrell	Noomi Rapace	Dominic Cooper	nm0268199	nm0636426	nm1002641	Dead Man Down	2013	118	"Action,Crime,Drama"	nm0649117	nm0437249	6.5	61681	"Victor, a rising gangland player, has infiltrated the crime empire run by ruthless kingpin Alphonse, with the single purpose of making Alphonse pay for destroying his once happy life. As he meticulously orchestrates his vengeance from his high-rise home, Victor watches and is watched by Beatrice, a mysterious young woman who lives in the apartment across from his. On the surface a fragile woman-child, Beatrice seethes with a rage of her own. When she uncovers Victor's dark secrets, she threatens to expose him unless he helps her carry out her own campaign of retribution. Each fixated on avenging the past, they devise a violent and cathartic plan that could change their worlds forever. Beatrice is kidnapped by Alphonse towards the end, Its a race against time for Victor to save her."	-0.397515387
tt0790736	130000000	78324220	Ryan Reynolds	Jeff Bridges	Mary-Louise Parker	nm0005351	nm0000313	nm0000571	R.I.P.D.	2013	96	"Action,Adventure,Comedy"	nm0777881	"nm0006534,nm0542062,nm0229694,nm0006997,nm9592688"	5.6	111391	"In Boston, the dirty cop Nick hides gold that he has stolen from drug-dealers with his partner Hayes in the backyard of his house. However, on the next morning, Nick tells Hayes that he will deliver the evidence to the police since he loves his wife Julia and he could not face her acting that way. Nick and Hayes are assigned to a raid against a dangerous gang and unexpectedly Hayes kills Nick. Nick is drawn by a tunnel and based on his previous experience in the police department, he is assigned in the afterlife by the Proctor to join the Rest in Peace Department that protects the living world from the undead and work with the old-fashioned agent Roy. Roy and Nick accidentally find that Hayes in plotting a scheme to revert the sense of the tunnel to the afterlife and bring the Apocalypse to Earth."	-0.397506005
tt1518812	2000000	1205257	Michelle Williams	Bruce Greenwood	Paul Dano	nm0931329	nm0339304	nm0200452	Meek's Cutoff	2010	104	"Drama,Western"	nm0716980	nm1299680	6.5	10656	"The year is 1845, the earliest days of the Oregon Trail, and a wagon team of three families has hired the mountain man Stephen Meek to guide them over the Cascade Mountains. Claiming to know a short cut, Meek leads the group on an unmarked path across the high plain desert, only to become lost in the dry rock and sage. Over the coming days, the emigrants must face the scourges of hunger, thirst and their own lack of faith in each other's instincts for survival. When a Native American wanderer crosses their path, the emigrants are torn between their trust in a guide who has proven himself unreliable and a man who has always been seen as the natural enemy."	-0.397371801
tt0419294	15000000	9045364	Tommy Lee Jones	Barry Pepper	Dwight Yoakam	nm0000169	nm0001608	nm0948267	The Three Burials of Melquiades Estrada	2005	121	"Adventure,Crime,Drama"	nm0000169	nm0037247	7.4	37339	"A man is shot and quickly buried in the high desert of west Texas. The body is found and reburied in Van Horn's town cemetery. Pete Perkins, a local ranch foreman, kidnaps a Border Patrolman and forces him to disinter the body. With his captive in tow and the body tied to a mule, Pete undertakes a dangerous and quixotic journey into Mexico."	-0.396975774
tt1713440	5059000	3054505	Jose Coronado	Eduard Fernández	Miquel García Borda	nm0180580	nm0273464	nm0305565	The Man with Thousand Faces	2016	123	"Biography,Thriller"	nm0735705	"nm3067898,nm1943791,nm0735705"	6.9	5799	"The story of a man who fooled an entire country. A tale of cheats and impostors, taking its inspiration from true facts and from one of the most intriguing characters of recent decades: the spy Francisco Paesa."	-0.396223681
tt1059969	4000000	2415999	John Cleese	Troye Sivan	Jamie Royal	nm0000092	nm2931989	nm4192157	Spud	2010	103	"Comedy,Drama"	nm9605429	"nm3128158,nm9828406"	6.7	2409	"It's South Africa, 1990. Two major events are about to happen: The release of Nelson Mandela and, more importantly, it's Spud Milton's first year at an elite boys only private boarding school. John Milton is a boy from an ordinary background who wins a scholarship to a private school in Kwazulu-Natal, South Africa. Surrounded by boys with nicknames like Gecko, Rambo, Rain Man and Mad Dog, Spud has his hands full trying to adapt to his new home. Along the way Spud takes his first tentative steps along the path to manhood. (The path it seems could be a rather long road). Spud is an only child. He is cursed with parents from well beyond the lunatic fringe and a senile granny. His dad is a fervent anti-communist who is paranoid that the family domestic worker is running a shebeen from her room at the back of the family home. His mom is a free spirit and a teenager's worst nightmare, whether it's shopping for Spud's underwear in the local supermarket, or sneaking food into her handbag at ..."	-0.396000401
tt2371399	3642480	2200510	Maria Sid	Russell Tovey	Mats Långbacka	nm1483716	nm0869871	nm0529526	Moomins on the Riviera	2014	80	"Animation,Comedy,Family"	"nm0681422,nm0375991"	"nm0829593,nm0256764,nm0375991,nm0681422,nm2853724,nm0418309"	6	1036	"The Moomins, Snorkmaiden and Little My set sail for the Riviera, where, after a journey fraught with storms and desert island dangers, Snorkmaiden is dazzled by the attentions of a playboy and Moomin learns that jealousy's sting is the most painful of all. When Moominpappa befriends an aristocrat and adopts the name 'de Moomin', an exasperated Moominmamma retires to the relative calm of their trusty old boat. For the very first time, the unity of the Moomins is threatened."	-0.395876053
