Title	Budget	Box_Office	Star1	Star2	Star3	Star_num1	Star_num2	Star_num3	Name	Year	Run_Time	Genre	Director_num	Writer_num	Average_Rating	Num_Voters	Story_Line	Ratio
tt0939681	2000000	200010	Adetola Abiade	Paul Allen	Paul Norman Allen	nm2848559	nm2849223	nm0020893	What Would Jesus Buy?	2007	91	"Comedy,Documentary"	nm1768543	nm9516425	6.4	1124	"An examination of the commercialization of Christmas in America while following Reverend Billy and the Church of Stop Shopping Gospel Choir on a cross-country mission to save Christmas from the Shopocalypse (the end of humankind from consumerism, over-consumption and the fires of eternal debt.) The film also delves into issues such as the role sweatshops play in America's mass consumerism and Big-Box Culture. From the humble beginnings of preaching at his portable pulpit on New York City subways, to having a congregation of thousands - Bill Talen (aka Rev. Billy) has become the leader of not just a church, but a national movement."	-0.89999505
tt1756599	4047200	404818	Leonor Watling	Miguel Ángel Silvestre	Nathalie Poza	nm0914455	nm1775614	nm1208191	Dark Impulse	2011	96	Thriller	nm0057819	"nm0057819,nm0379864,nm1167119"	5.1	471	"Eva, a judge with a great future, has for years given exclusively to his profession. Believes strongly in justice and not willing to make concessions, wherever they come from. One day it's up to instruct the murder of a stripper. And she appears before a witness in the case, the victim's boyfriend, Rocco, a caring and friendly gigolo who is willing to help. In return, Eve will have to give some clues of his own identity. But the inner life of Eva is a mystery, a safe that nobody knows how."	-0.89997581
tt0253840	5000000	501442	Mira Sorvino	Ben Kingsley	Rachael Stirling	nm0000227	nm0001426	nm0830556	The Triumph of Love	2001	112	"Comedy,Romance"	nm0672543	"nm0210114,nm0672543,nm0325665,nm0000934"	5.9	1437	"In an unidentified country in 18th century Europe, a usurper's daughter has inherited the throne and feels guilty about her family's crimes. She learns that a rightful heir exists but has been taught to hate her and reject all love, and who additionally is kept in seclusion to protect him from her. Spying on his household, she falls in love at the first sight of him, suggesting an obvious happy ending as regards the throne. But to even get close enough to him to talk about it, she must embark on a series of bribes, deceptions, and seductions..."	-0.89971162
tt0432047	2632500	264217	Amitabh Bachchan	Abhishek Bachchan	Kay Kay Menon	nm0000821	nm0045393	nm1946407	Sarkar	2005	124	"Action,Crime,Drama"	nm0890060	nm1913302	7.6	14647	"Meet Subhash Nagre - a wealthy and influential resident of Bombay. He lives in a palatial house with his wife, Pushpa; sons Vishnu and his wife Amrita and their son; a second son, named Shankar, in the United States. Subhash and his family are thrilled when Shankar returns home, in the company of a gorgeous long-legged young woman named Pooja, who he plans to marry soon. While Subhash adores both his sons, he shows his open disappointment for Vishnu, whose language, childish actions, and his affair with a Bollywood actress named Sapna are just few of his wrong actions. When Vishnu finds out that a Bollywood actor is attempting to start an affair with Sapna, he angrily guns him down in front of several witnesses. Subhash asks Vishnu to leave the house, and thereafter Vishnu is arrested and charged with murder. Then all hell breaks lose in the Nagre household when a politician named Motilal Khurana is killed, and the killer names Subhash as the person who hired him to do this killing. ..."	-0.899632707
tt1671494	3541300	355663	Valeria Golino	Elsa Zylberstein	Vincent Perez	nm0000420	nm0959113	nm0001641	A Butterfly Kiss	2011	101	Drama	nm0798062	nm0798062	5.4	136	"A happy couple, with children, are at a point of bliss in their lives...until bad news leaves them feeling like the carpet was torn from under their feet. Karine wrote and directed this film...her husband Vincent Perez and 2 of her daughters have also been cast in starring and supporting roles."	-0.899567136
tt1783408	556490	56014	Serban Pavlu	Claudiu Bleont	Gabriel Spahiu	nm0667904	nm0088250	nm0816637	Ursul	2011	80	Comedy	nm0158305	nm0158305	6.6	535	"At the Bucharest Circus, the new young manager is trying to solve the major financial issues of the company by selling its only bear (old and about to die soon) to German hunters. But the artists do not want to sacrifice their favorite animal so the manager decides to steal the bear and run to the mountains to meet the Germans. A crazy road movie starts following the bear."	-0.899344284
tt1378274	150000	15120	Wilson Large	Victoria Maurette	Jeremy Parrish	nm1914422	nm1228240	nm3313527	Kung Fu Joe	2009	89	Comedy	nm2368091	nm2368091	1.6	226	"Kung Fu Joe, neighborhood hero and martial arts expert, must uncover the plot of a mad scientist and his bizarre minions bent on ruling the world."	-0.899200672
tt0222812	3000000	302586	Jeffrey Combs	Tommy Dean Musset	Jason Barry	nm0001062	nm1459586	nm0058029	Beyond Re-Animator	2003	96	"Comedy,Horror,Sci-Fi"	nm0951206	"nm1898893,nm1265923,nm0522454,nm0854185,nm0951206"	5.9	10351	"Left to rot in prison for the past thirteen years after the blood-drenched events in Re-Animator (1985) and Bride of Re-Animator (1989), the misunderstood virtuoso of mayhem, Dr Herbert West, finds an unexpected ally in the person of the young medical doctor, Howard Phillips. Behind the thick walls of the impenetrable Arkham State Penitentiary, the blasphemous duo of dreamers set up a secret laboratory to test an entirely new reanimating serum, which--when combined with West's original phosphorescent reagent--can work miracles on the prison's inmates. Now, the stage seems set for the ultimate experiment; however, once more, this is easier said than done. Can the good doctors escape from this concrete pit of death?"	-0.899138034
tt1545677	15000000	1513304	Catherine Deneuve	Géraldine Pailhas	Nicolas Duvauchelle	nm0000366	nm0656768	nm0245164	His Mother's Eyes	2011	105	Drama	nm1126428	"nm1126428,nm0859985"	6	228	"Torn apart by ambition? An investigative writer's next target is a famed anchorwoman, whose daughter travels from Spain after attending the daughter's father's funeral. A boxer is training for a fight under the watchful eyes of his parents."	-0.899113073
tt1468705	1200000	121254	Carmen Salinas	Irma Dorantes	Javier López	nm0758345	nm0233425	nm0530166	Cartas a Elena	2011	97	Drama	nm3529882	nm3529882	6.5	99	"In the beautiful hills of the Copper Canyon in Chihuahua, Mexico, a young boy (Emilio) is adopted by the mailman (Teo). As part of their daily tasks, they not only deliver the mail but read letters to the villagers, as well as take dictation, since most are illiterate. Young Emilio quickly learns to read and write but feels saddened by the mostly difficult stories sent by relatives, that moved north to Denver, Colorado in pursuit of a better future. One day Teo becomes disabled and Emilio takes over the mail route and with great imagination, he changes the letters to happy and optimistic stories. Within days, the village is transformed. The elders, once hopeless, lonely and sad, are now happy and enthusiastic, enjoying the ""supposed"" success their loved ones write from the United States. But the enjoyment is short lived, as they realize that all the wonderful stories are the same, a product of Emilio's imagination. During this same period, Emilio meets a young girl named Elena and ..."	-0.898955084
