Title	Budget	Box_Office	Star1	Star2	Star3	Star_num1	Star_num2	Star_num3	Name	Year	Run_Time	Genre	Director_num	Writer_num	Average_Rating	Num_Voters	Story_Line	Ratio
tt5161018	3006232	283704	Krisztián Kolovratnik	Réka Tenki	János Kulka	nm1069559	nm2757249	nm0474603	Budapest Noir	2017	95	"Crime,Drama,History"	nm0307147	"nm7695395,nm0843921"	6.1	1083	"A murder mystery set in Budapest 1936, just as Hungary was preparing to allign itself with Hitler. A young beautiful girl is found dead and noone wants to investigate - except Gordon a crimd reporter who has a gut feeling that things are not what they seem."	-0.905628073
tt0295633	3011190	171400	Benoît Brière	Xavier Morin-Lefort	Fayçal Azzouz	nm0110301	nm0605597	nm8632504	North Station	2002	111	"Comedy,Family,Romance"	nm0520440	"nm0072298,nm0605515"	5.4	67	"For years, the post office has delivered mail addressed to Santa Claus to the small isolated community of North Station, the closest thing they know name-wise to the North Pole. Sometime in the 1950's, teen-aged North Station residents Samuel and his girlfriend Evelyne continue a tradition started by Samuel's grandfather Edgar - who recently passed away - of personally answering those letters as Santa Claus. Because of a snowstorm, those letters written by Samuel and Evelyne can't be delivered before Christmas, so Samuel takes it upon himself to see those letters make it out of North Station on time. However, Samuel's ski-doo is found abandoned in the woods, and Samuel is thought to have perished in the storm. Fifty years later, there are fewer letters written every year because fewer children believe in the magic of Santa Claus. One of the letters that is written is from a young girl named Satia - Evelyne's granddaughter - who has a special Christmas wish for her ailing grandmother. ..."	-0.943079001
tt0303010	3011190	1015671	Polly Walker	Luc Picard	Isabelle Blais	nm0908116	nm0681401	nm0086396	Savage Messiah	2002	94	"Drama,Thriller"	nm0044524	nm0726876	6.5	930	"Based on real-life events in Canada in the late 1980's, social worker Paula Jackson investigated a commune run by a messiah-like figure who referred to himself as Moses. Jackson's findings uncovered disturbing mental and physical abuses of this cult's members by its maniacal leader. Soon, Jackson found herself fighting to save Moses's followers."	-0.662701237
tt1931569	3019382	3247466	Chris Marlowe	Christopher Corey Smith	Raúl Solo	nm0549264	nm0448686	nm8847662	The Greatest Miracle	2011	70	"Animation,Drama"	nm0606407	nm2019382	4.3	278	"A story of the unseen sense of going and participating in church. It focuses on three characters and their guardians. This is what is understood to happen within a celebration of mass. From confession, to each part of mass such as communion, the offerings and our prayers for those who have gone to heaven or purgatory. Thus having hope and faith will help the stories advance through the explanation of mass."	0.075539605
tt4694404	3024000	10845468	Bruna Felix	Christian Monassa	Danni Suzuki	nm8037246	nm4721948	nm0840558	Vai que Cola: O Filme	2015	105	Comedy	nm0735083	"nm4138616,nm1280640,nm4767807,nm0735083,nm1832579,nm5339702,nm7707815"	5.2	734	"Valdomiro gets involved in yet another scheme, this time involving the same people that tricked him into losing everything - and he brings everyone from Ms. Jô's hostel along."	2.5864631
tt4924082	3024000	470903	Mariana Ximenes	Bruno Garcia	Miá Mello	nm0944543	nm0305132	nm4543718	Uma Loucura de Mulher	2016	92	"Comedy,Family,Romance"	nm2348149	"nm2053953,nm2348149,nm1159592"	5.2	156	"After being calles crazy by her husband, Lucy decides to follow her dream"	-0.84427816
tt5708172	3024000	2127303	Fábio Porchat	Gregório Duvivier	Naldo Benny	nm1167049	nm2366126	nm2165947	Porta dos Fundos: Contrato Vitalício	2016	100	Comedy	nm4894169	"nm5764298,nm1167049,nm4894169"	3.8	1103	"Miguel and Rodrigo are two best friends. One of Thais movies win a prize in an international festival. Excited about the award, the two go out to celebrate and Rodrigo signs in a bar napkin, a lifetime contract that guarantees that he would be in all the movies of Miguel from there forward. However, Martin disappears and only returns 10 years later. When he reappears, he takes to Rodrigo, now a famous actor, the proposal of an insane movie that could destroy his career."	-0.296527018
tt0325145	3035400	2067335	Dafne Fernández	Antonio Resines	Miriam Montilla	nm0273451	nm0720277	nm1238401	Box 507	2002	104	"Action,Crime,Drama"	nm0881762	"nm0881762,nm0311132"	6.8	2259	Bankmanager Modesto Pardos(played by Antonio Resines) daughter dies in an forest fire while camping. 7 years later Pardos bank gets robbed and robbers breaks open numerous safe deposit boxes. After the robbery Pardo by mistake look into one of the depositboxes and stumbles across some very strange documents that proves that his daughters death is not an accident but murder. Pardo swears to take revenge on all those involved but doesn't know that papers belongs to a very powerful mob boss who is looking for the papers and will stop at nothing to get them.	-0.318925242
tt0327717	3035400	647110	Antonie Kamerling	Daphne Bunskoek	Beau van Erven Dorens	nm0436589	nm1135487	nm0886833	Love Trap	2004	95	"Comedy,Drama,Romance"	nm0375983	nm0018636	4.5	409	"Law student Thijs shares a house in which every room is the HQ of constant cruising for one night stands, relationships are considered a waste of lives. Suddenly Ben, his best mate since childhood, announces he passed on his room to Susan, who brings her studly boyfriend Stef, because Ben is- getting married to heiress Talita Bekooy. Thijs now remembers his old ambition to start his own restaurant, but can't get a bank loan- until Ben recommends Thijs, the till then reluctant best man, to his in-laws-to-be as MC for the society wedding of the year, Sir is pleased to hear the extravaganza budget 'reduced' to 150,000 Euros. Then Cupid's arrow hits Thijs himself and Susan, but when the banker tells dad Bekooy he's totally inexperienced and poor, it all crumbles down. Yet the boy bravely perseveres..."	-0.786812352
tt0335261	3035400	581667	Maribel Verdú	Juan Luis Galiardo	Javier Gurruchaga	nm0893941	nm0302080	nm0348741	Lisístrata	2002	89	"Comedy,Romance"	nm0069118	"nm0034922,nm0069118,nm0477910,nm1253007"	4.2	453	"411 BC, Sparta and Athens are in a endless war, but Lisistrata, a beautiful woman has an idea to stop the fight, and convinces all the women to do it: no sex until there is peace."	-0.808372271
