Title	Budget	Box_Office	Star1	Star2	Star3	Star_num1	Star_num2	Star_num3	Name	Year	Run_Time	Genre	Director_num	Writer_num	Average_Rating	Num_Voters	Story_Line	Ratio
tt1235075	1005000	2096699	Tibor Szervét	Csaba Pindroch	Gyözö Szabó	nm0844027	nm0683950	nm0843632	Valami Amerika 2	2008	110	Comedy	nm1089985	"nm1472530,nm1393806,nm1089985"	6.9	3149	"The three brothers, Akos, Tamas and Andras - known from the first part - try to get back their 60 million forints stolen by impostor Alex who ran away with the money and the girlfriend of the oldest brother."	1.086265586
tt5221584	1008000	3085977	Sônia Braga	Maeve Jinkings	Irandhir Santos	nm0000968	nm2701325	nm2046691	Aquarius	2016	146	Drama	nm2207625	nm2207625	7.5	15736	"Clara, a 65 year old widow and retired music critic, was born into a wealthy and traditional family in Recife, Brazil. She is the last resident of the Aquarius, an original two-storey building, built in the 1940s, in the upper-class, seaside Boa Viagem Avenue, Recife. All the neighboring apartments have already been acquired by a company which has other plans for that plot. Clara has pledged to only leave her place upon her death, and will engage in a cold war of sorts with the company. This tension both disturbs Clara and gives her that edge on her daily routine. It also gets her thinking about her loved ones, her past and her future."	2.061482082
tt1726888	1009653	1212354	Ernesto Alterio	Natalia Oreiro	César Troncoso	nm0022764	nm0649638	nm1204465	Clandestine Childhood	2011	112	Drama	nm1198000	"nm1198000,nm1098902"	7	2212	"Juan lives in clandestinity. Just like his mum, his dad and his adored uncle Beto, outside his home he has another name. At school, Juan is known as Ernesto. And he meets María, who only has one name. Based on true facts, set in the Argentina of 1979, this film is ""one about love""."	0.200761845
tt0309832	1011800	398016	Gérald Laroche	Philippe Laudenbach	Clovis Cornillac	nm0488417	nm0490734	nm0180404	Maléfique	2002	90	"Fantasy,Horror,Mystery"	nm0884659	"nm0153265,nm0536251,nm0169099"	6.4	3539	"In a penitentiary, four prisoners occupy a cell: Carrère, who used his company to commit a fraud and was betrayed by his wife; the drag Marcus and his protégée, the intellectually disabled Paquerette, who ate his six months sister; and the intellectual, Lassalle who killed his wife. One night, Carrère finds an ancient journal hidden in a hole in the wall of the cell. They realize that the book was written by Danvers in the beginning of the last century and is about black magic. They decide to read and use its content to escape from the prison, when they find the truth about Danvers' fate."	-0.606626204
tt0372472	1011800	190360	Teijo Eloranta	Sari Havas	Jarmo Hyttinen	nm0255538	nm0369716	nm0405347	Flowers and Binding	2004	114	Comedy	nm0476620	"nm0054358,nm0255538,nm0369716,nm0405347,nm0475406,nm0476620,nm0617394,nm0685159,nm0718734,nm0746122,nm0797650,nm1249194,nm0865671,nm0956495"	5.7	356	Small town butchers and florists grow tired of local sausage factory owner. They want to teach him a lesson but things get out of hand.	-0.811860237
tt0393775	1011800	1107774	Cees Geel	Marcel Hensema	Rifka Lodeizen	nm0311588	nm0378102	nm0517054	Simon	2004	102	"Comedy,Drama"	nm0856124	nm0856124	7.9	7823	"Enterprising liberal Jew Simon Cohen is the lawless lord of an Amsterdam neighborhood, running a 'coffee' shop' (legal soft drugs sale). As soon as they bump into each-other, Simon fascinates gay, up to then conventionalist Jewish dentistry student Camiel Vrolijk and draws him into his libertine world, even all the way to Thailand for B-movie making. Having seduced Simon's whorish girl, embarrassed Simon leaves quietly. Ten years later, the dentist, now settled with a gay partner, lawyer Bram, meets the new cancer-terminal but affluent Simon again."	0.094853632
tt0420897	1011800	270778	Valeria Golino	Marco Grieco	Andrea Renzi	nm0000420	nm1705301	nm0719956	Mario's War	2005	100	Drama	nm0135724	nm0135724	6.6	223	"A rebellious little boy has been taken away from his abusive mother and placed in the temporary care of a young couple. And while Mario is a singular child, commendably portrayed by the pugilistic Marco Grieco, what turns Antonio Capuano's Mario's War into a fine film is not just this penetrating performance but the sensitive depiction of the new world that envelops this young boy. This film gets to the heart of the restless struggle between an adult and a child who have to adapt to each other without the bond of a biological relationship. Giulia is a special woman who gratefully and bravely embraces her new foster son. As played by the wonderful Valeria Golino (recently seen in Respiro), we recognize her unbending strength and commitment to meeting this huge challenge. Not only does she have to grapple with every obstacle Mario throws at her, but she has to cope with the doubts and hesitation of Sandro (Andrea Renzi), the man she lives with and loves... Hovering uneasily over the ..."	-0.732380181
tt0427005	1011800	4928	Go Go Jean Michel Francis	Tuva Novotny	Tonya Graves	nm1537828	nm0637259	nm1170476	Close to Heaven	2005	96	"Comedy,Drama"	nm0841392	nm0841392	4.7	113	"Samuel stands on the edge of a hotel roof in the rain and, before he jumps into the street below, he tries to summon up in his mind an image of his homeland."	-0.995129477
tt0437522	1011800	380841	Massimo Ceccherini	Claudio Batta	Giovanni Cacioppo	nm0147592	nm1886046	nm0128039	Tutti all'attacco	2005	101	Comedy	nm0897092	"nm0135339,nm1818405,nm1881942"	5.3	78	"Max Bernabei is a football coach who has never been very successful, preferring to spend his time training up the team of the local psychiatric centre. But his luck changes when he is called upon to train the soccer team of the Tuscan city in which he lives, Collenovo soccer team, but is given a disastrous budget. To save the situation they hire five Chinese players - the Wong siblings who are passionate about 'Shaolin soccer'."	-0.623600886
tt0449642	1011800	4952	Dorotheea Petre	Valentin Popescu	Matthieu Rozé	nm1856352	nm0691251	nm0747678	Ryna	2005	94	Drama	nm1552776	"nm1215153,nm1994414,nm1552776"	7	434	"16 year old Ryna is the daughter of a poor Romanian who runs a gas station in a small community in the Danube delta. Ryna has been brought up like a boy because her father had longed for a son. The film is about strong family ties, about gender identity, and about a despotic father slowly losing his grip. But, it is also about poverty, social suppression and the abuse of power. Ryna shows the awakening of a young girl's soul and the pain that goes with it. Caught between traditional values and materialistic dreams, in the end Ryna pays a heavy price in order to assert her own identity."	-0.995105757
tt0457182	1011800	116674	Joaquim de Almeida	Vanessa Mesquita	Filipe Duarte	nm0021835	nm0581971	nm1379813	Um Tiro no Escuro	2005	105	"Action,Crime,Drama"	nm0896662	"nm1184293,nm1125868,nm0637964"	6.3	348	"A baby is kidnapped in a Brazilian airport. Years later, the mother lives in Lisbon and works in a strip-tease bar so she can survive. When she is fired, she joins a gang of bank robbers..."	-0.884686811
tt0466562	1011800	8998	Nancy Abdel Sakhi	Haris Burina	Aleksandar Seksan	nm1960638	nm0121529	nm0782898	Nafaka	2006	115	"Action,Comedy,War"	nm1568080	nm1568080	6.8	595	"Sarajevo, 1992. They are called Ahmed, Lana, Sado, Saba, Sahbey, Beba, Nemanja, Marx, Matan. They live in and between wartimes. They have ""nafaka"", the destiny which was bestowed on them by God Almighty. They have enough gallows humor and courage to believe in freedom and happiness."	-0.991106947
