tconst	Budget	Box_Office	Star_1	Star_2	Star_3	Star_num1	Star_num2	Star_num3
tt0390833	3035400	228377	Monique van de Ven	Monic Hendrickx	Georgina Verbaan	nm0892857	nm0376826	nm0893620
tt0391104	500000	173306	Steve Anderson	Heather Beers	Wayne Brennan	nm0027468	nm1235592	nm0107423
tt0391198	10000000	187281115	Sarah Michelle Gellar	Jason Behr	Clea DuVall	nm0001264	nm0004736	nm0245112
tt0391229	1500000	194568	Jeff Garlin	Sarah Silverman	Bonnie Hunt	nm0307531	nm0798971	nm0001372
tt0391304	30000000	42886719	Ashton Kutcher	Amanda Peet	Taryn Manning	nm0005110	nm0001605	nm0543383
tt0391483	3000	69816	Charles Jang	Jeng-Hua Yu	Wang-Thye Lee	nm1517692	nm1517133	nm1515145
tt0391774	7284960	4856692	Luke Wilkins	Alexandra Neldel	Henriette Richter-Röhl	nm0929286	nm0625001	nm1007965
tt0391965	5059000	770615	Jasper Oldenhof	Lenette van Dongen	Yale Sackman	nm1515740	nm1490544	nm1632228
tt0392465	12000000	84447	Josh Hartnett	Radha Mitchell	Gary Cole	nm0001326	nm0593664	nm0170550
tt0392883	6000000	130742	Milind Soman	Mylène Jampanoï	Naseeruddin Shah	nm0813763	nm1227864	nm0787462
tt0393109	475000	3947579	Joseph Gordon-Levitt	Lukas Haas	Emilie de Ravin	nm0330687	nm0001305	nm0211087
tt0393329	6200000	936542	Willem Dafoe	Bob Hoskins	Matthew Modine	nm0000353	nm0001364	nm0000546
tt0393423	2529500	667160	Monic Hendrickx	Peter Blok	Sarah Jonker	nm0376826	nm0088860	nm1169827
tt0393597	30354000	108976456	James Earl Jones	Patrick Stewart	Anggun	nm0000469	nm0001772	nm1163076
tt0393735	50000000	87134280	Tim Allen	Kristin Davis	Craig Kilborn	nm0000741	nm0004862	nm0452929
tt0393775	1011800	1107774	Cees Geel	Marcel Hensema	Rifka Lodeizen	nm0311588	nm0378102	nm0517054
tt0395119	24283200	23482607	Viggo Mortensen	Elena Anaya	Unax Ugalde	nm0001557	nm0025745	nm0880054
tt0395125	4806050	9042432	Guillermo Toledo	Mónica Cervera	Enrique Villén	nm0865950	nm1014577	nm0898420
tt0395169	17500000	33882243	Don Cheadle	Sophie Okonedo	Joaquin Phoenix	nm0000332	nm0645683	nm0001618
tt0395216	1720	494987	Raimund Wallisch	Michael Ostrowski	Pia Hierzegger	nm1517001	nm1382571	nm1514571
tt0395251	45000000	38058335	Nathan Lane	Matthew Broderick	Uma Thurman	nm0001447	nm0000111	nm0000235
tt0395424	2150850	12327	Chloë Sevigny	Lucy Liu	Shawn Ashmore	nm0001721	nm0005154	nm0039162
tt0395429	1000000	1301272	Mauricio Ochmann	Adriana Fonseca	Ninel Conde	nm0643706	nm0284643	nm0174306
tt0395495	25000000	16159325	Jennifer Garner	Timothy Olyphant	Kevin Smith	nm0004950	nm0648249	nm0003620
tt0395543	1500000	172569	Dina Korzun	Rip Torn	Darren E. Burrows	nm0466861	nm0001800	nm0123261
tt0395561	800000	203144	Ignacio Serricchio	Lucas Fleischer	Lamont Stephens	nm1579445	nm1370666	nm1670794
tt0395584	7000000	19390029	Sid Haig	Sheri Moon Zombie	Bill Moseley	nm0354085	nm0600667	nm0608405
tt0395699	56000000	198636868	Vin Diesel	Brittany Snow	Max Thieriot	nm0004874	nm0811242	nm1302735
tt0395972	35000000	25211175	Charlize Theron	Jeremy Renner	Frances McDormand	nm0000234	nm0719637	nm0000531
tt0396041	100000	12604	Jeffrey Gilbert	Tim Gouran	Todd Licea	nm1296046	nm1483228	nm0508970
tt0396112	5018650	2750263	Pascale Bussières	Michel Barrette	Serge Postigo	nm0124481	nm0057326	nm0692944
tt0396171	60000000	135039924	Ben Whishaw	Dustin Hoffman	Alan Rickman	nm0924210	nm0000163	nm0000614
tt0396190	7600000	326563	Connie Nielsen	Aidan Quinn	Kelly Preston	nm0001567	nm0001644	nm0000593
tt0396223	200000	120488	Will Swenson	Kirby Heyborne	Danny Tarasevich	nm0842451	nm1109458	nm1533193
tt0396269	40000000	285176741	Owen Wilson	Vince Vaughn	Rachel McAdams	nm0005562	nm0000681	nm1046097
tt0396401	860340	29198	Laura Mennell	Paul Dzenkiw	Christie Will Wolf	nm0579728	nm1081115	nm1592228
tt0396555	150000000	169333034	Daniel Hansen	Wesley Singerman	Angela Bassett	nm0360743	nm1130617	nm0000291
tt0396563	175500	396952	Salman Khan	Preity Zinta	Bhoomika Chawla	nm0006795	nm0006689	nm0154653
tt0396587	250000	1967	Joe Lia	Allan Louis	Lance Lee Davis	nm1533823	nm0521854	nm1577617
tt0396592	26000000	48551322	Kenan Thompson	Kyla Pratt	Omarion	nm0860380	nm0695497	nm1217506
tt0396707	32000000	7099478	Ioan Gruffudd	Dakota Blue Richards	Tim Curry	nm0344435	nm2301950	nm0000347
tt0396746	40472	1758441	Jan Henrik Stahlberg	Fritz Roth	Wanda Perdelwitz	nm1083116	nm0744850	nm1177407
tt0396752	25000000	121500821	Emma Thompson	Colin Firth	Angela Lansbury	nm0000668	nm0000147	nm0001450
tt0396955	4451920	310452	Emmanuelle Béart	Edouard Baer	Atmen Kelif	nm0000322	nm0046347	nm0445463
tt0397044	15000000	6340723	Agnes Bruckner	Hugh Dancy	Olivier Martinez	nm0115671	nm0199215	nm0553648
tt0397065	40000000	68766121	Chad Michael Murray	Paris Hilton	Elisha Cuthbert	nm0614877	nm0385296	nm0193846
tt0397078	28000000	38159905	Lindsay Lohan	Chris Pine	Samaire Armstrong	nm0517820	nm1517976	nm1027847
tt0397101	43000000	91974818	Kate Hudson	Peter Sarsgaard	Joy Bryant	nm0005028	nm0765597	nm0117146
tt0397307	250000	40182	Julie Alexander	Mike Burstyn	Felix Fibich	nm1918522	nm0123391	nm0275800
tt0397313	40000000	120455994	Paul Walker	Jason Biggs	Bruce Greenwood	nm0908094	nm0004755	nm0339304
tt0397530	30354000	3672809	Joseph Fiennes	Kristin Scott Thomas	Iain Glen	nm0001212	nm0000218	nm0322513
tt0397535	85000000	162242962	Ziyi Zhang	Ken Watanabe	Michelle Yeoh	nm0955471	nm0913822	nm0000706
tt0397619	1000000	328161	Eol Lee	Ji-min Kwak	Yeo-reum Han	nm1060442	nm1560374	nm1560630
tt0397892	150000000	309979994	John Travolta	Miley Cyrus	Susie Essman	nm0000237	nm1415323	nm0261435
tt0398017	22000000	57479076	Clive Owen	Jennifer Aniston	Vincent Cassel	nm0654110	nm0000098	nm0001993
tt0398027	8000000	855009	Edward Norton	Evan Rachel Wood	David Morse	nm0001570	nm0939697	nm0001556
tt0398165	82000000	190320568	Adam Sandler	Burt Reynolds	Chris Rock	nm0001191	nm0000608	nm0001674
tt0398237	261300	199780	L.L. Junior	László Szacsvay	Gyözö Szabó	nm1549851	nm0843677	nm0843632
tt0398286	260000000	591794936	Mandy Moore	Zachary Levi	Donna Murphy	nm0601553	nm1157048	nm0614220
tt0398375	70000000	88933562	Jennifer Aniston	Mark Ruffalo	Shirley MacLaine	nm0000098	nm0749263	nm0000511
tt0398390	1250000	10529	Sonali Kulkarni	Amardeep Jha	Amruta Subhash	nm0006764	nm1030306	nm1576284
tt0398712	30000000	35294470	Ethan Hawke	Laurence Fishburne	Gabriel Byrne	nm0000160	nm0000401	nm0000321
tt0398808	17000000	137587063	Josh Hutcherson	AnnaSophia Robb	Zooey Deschanel	nm1242688	nm1455681	nm0221046
tt0398830	3000000	26904	Debbie Brown	Farouk Valley-Omar	Parinita Jeaven	nm1546587	nm0651968	nm2101506
tt0398842	10000000	1127463	Matthew Settle	Thomas Kretschmann	Sarah Wayne Callies	nm0786136	nm0470981	nm0915637
tt0398872	70000	3255426	John Ritter	Cree Summer	Kel Mitchell	nm0000615	nm0838588	nm0005239
tt0398883	2023600	2556056	Toni Servillo	Olivia Magnani	Adriano Giannini	nm0785842	nm1105785	nm0316271
tt0398913	21000000	7563172	Jaime Pressly	Devon Aoki	Sarah Carter	nm0005326	nm1226817	nm0141931
tt0398963	185000	72234	Michael McMillian	Lea Coco	Steve Fletcher	nm0573354	nm0168398	nm0282116
tt0399095	12000000	1465077	Kevin Kline	Kathleen Gati	Paulina Gaitan	nm0000177	nm0309670	nm2103508
tt0399102	19500000	9167302	Masahiro Matsuoka	Rei Kikukawa	Don Frye	nm0556036	nm1122636	nm1675025
tt0399201	126000000	162949164	Scarlett Johansson	Ewan McGregor	Djimon Hounsou	nm0424060	nm0000191	nm0005023
tt0399295	50000000	72617068	Nicolas Cage	Ethan Hawke	Jared Leto	nm0000115	nm0000160	nm0001467
tt0399327	33000000	13485145	Samuel L. Jackson	Eugene Levy	Miguel Ferrer	nm0000168	nm0506405	nm0001208
tt0399365	1628399	533087	Vegar Hoel	Silje Salomonsen	Andreas Cappelen	nm0388473	nm0758922	nm1548431
tt0399497	2023600	681056	Sophie Quinton	Miou-Miou	Nicolas Duvauchelle	nm1070112	nm0591877	nm0245164
tt0399692	758850	624	Titus De Voogdt	Delfine Bafort	Johan Heldenbergh	nm0222892	nm1547989	nm0374949
tt0399854	3000000	13954476	Yilmaz Erdogan	Tarik Akan	Demet Akbag	nm0258784	nm0015081	nm0015130
tt0399862	10000000	12128105	Louie Leonardo	Chad Allen	Jack Guzman	nm0502834	nm0020354	nm0349993
tt0400174	3000000	4443142	Kazunari Ninomiya	Aya Matsuura	Kumiko Akiyoshi	nm0632497	nm1564255	nm0015440
tt0400297	1730178	164178	Borja Elgea	Roger Pera	Paula Echevarría	nm0253374	nm0701812	nm1309844
tt0400400	1792375	1858019	Jacinthe Laguë	Julie Deslauriers	Ingrid Falaise	nm1723010	nm0221334	nm1486523
tt0400426	30000000	783501	Til Schweiger	Emmanuelle Vaugier	Natalia Avelon	nm0001709	nm0891275	nm0992883
tt0400497	50000000	144146816	Lindsay Lohan	Michael Keaton	Cheryl Hines	nm0517820	nm0000474	nm0385644
tt0400525	16000000	10156968	John Cusack	Billy Bob Thornton	Connie Nielsen	nm0000131	nm0000671	nm0001567
tt0400717	85000000	197309027	Ashton Kutcher	Martin Lawrence	Debra Messing	nm0005110	nm0001454	nm0005226
tt0400835	2023600	769521	Daan Schuurmans	Hanna Verboom	Egbert Jan Weeber	nm0776934	nm1576945	nm0917224
tt0401085	4660175	3710169	Michel Côté	Marc-André Grondin	Danielle Proulx	nm0194788	nm0343082	nm0698921
tt0401089	1600000	2392932	Sergey Makovetskiy	Marat Basharov	Andrey Krasko	nm0538710	nm0045388	nm0469908
tt0401320	100000	26888	Jan Dolanský	Jaroslav Dusek	Eva Nádazdyová	nm1120249	nm0244612	nm1560527
tt0401385	650000	5361	Peter Paige	Kathy Najimy	Anthony Clark	nm0656739	nm0001562	nm0163659
tt0401445	35000000	42064105	Russell Crowe	Abbie Cornish	Albert Finney	nm0000128	nm0180411	nm0001215
tt0401462	1000000	3700	Scott Levy	Vanilla Ice	Geremy Dingle	nm0002800	nm0406678	nm0227648
tt0401591	200000	138267	Danny Aiello	Jane Curtin	Daniel Sauli	nm0000732	nm0004852	nm0784815
tt0401593	250000	4480	Max Baker	Connie Britton	Edward Burns	nm0048755	nm0110168	nm0122653
tt0401711	13000000	17471727	Juliette Binoche	Leonor Watling	Ludivine Sagnier	nm0000300	nm0914455	nm0756203
tt0401729	250000000	284139100	Taylor Kitsch	Lynn Collins	Willem Dafoe	nm2018237	nm1211488	nm0000353
tt0401792	40000000	158733820	Mickey Rourke	Clive Owen	Bruce Willis	nm0000620	nm0654110	nm0000246
tt0401815	3500000	206871	Jenna Dewan	Katie Stuart	Chad Faust	nm1564087	nm0835759	nm1039977
tt0401855	50000000	111340801	Kate Beckinsale	Scott Speedman	Bill Nighy	nm0000295	nm0005454	nm0631490
tt0402022	62000000	52304001	Charlize Theron	Frances McDormand	Sophie Okonedo	nm0000234	nm0000531	nm0645683
tt0402115	1100000	1112	Judit Schell	Kata Dobó	Sándor Csányi	nm0770726	nm0229957	nm0190800
tt0402158	24283200	12373145	Jean Reno	Arly Jover	Jocelyn Quivrin	nm0000606	nm0431332	nm0704474
tt0402230	500000	193968	Maggie Gyllenhaal	Seth Gilliam	Jim Parsons	nm0350454	nm0319121	nm1433588
tt0402249	358475	423	Kate Greenhouse	Bruce McFee	Jeff Seymour	nm0339075	nm0568846	nm0786831
tt0402399	30000000	49334775	Colin Farrell	Q'orianka Kilcher	Christopher Plummer	nm0268199	nm0452963	nm0001626
tt0402417	2096640	55459	Fernanda Montenegro	Raul Cortez	Laura Cardoso	nm0005244	nm0181395	nm0136662
tt0402850	14000000	541840	Robin Williams	Giovanni Ribisi	Holly Hunter	nm0000245	nm0000610	nm0000456
tt0402901	30000000	33296457	Piper Perabo	Morris Chestnut	Cole Hauser	nm0005305	nm0004820	nm0369513
tt0402910	12500000	7000248	Jason Statham	Ryan Phillippe	Wesley Snipes	nm0005458	nm0000202	nm0000648
tt0403016	16000000	3344431	Steve Howey	Mike Vogel	Sophia Bush	nm0992538	nm1036181	nm0124208
tt0403057	5000000	225385	Lukas Haas	Erika Christensen	Giovanni Ribisi	nm0001305	nm0159776	nm0000610
tt0403358	4200000	50336279	Konstantin Khabenskiy	Vladimir Menshov	Mariya Poroshina	nm0450975	nm0579828	nm1115009
tt0403407	20000000	1012639	Dougray Scott	Saffron Burrows	Leo Gregory	nm0779084	nm0004787	nm0339877
tt0403483	3237760	1859065	Pim Wessels	Martijn Hendrickx	Billy Zomerdijk	nm2513508	nm2521219	nm2523119
tt0403508	25000000	42013878	Amber Tamblyn	Alexis Bledel	America Ferrera	nm0848554	nm0088127	nm1065229
tt0403702	18000000	19651093	Michael Cera	Portia Doubleday	Ray Liotta	nm0148418	nm0234668	nm0000501
tt0403703	20000000	28693920	Dan Green	Eric Stuart	Amy Birnbaum	nm0337751	nm0835688	nm0083671
tt0403935	16321500	315609	Shahid Kapoor	Prabhas	Ajay Devgn	nm1372788	nm1659141	nm0222426
tt0404030	7000000	3601974	Elijah Wood	Eugene Hutz	Boris Lyoskin	nm0000704	nm1778479	nm0504007
tt0404032	19000000	144216468	Laura Linney	Tom Wilkinson	Shohreh Aghdashloo	nm0001473	nm0929489	nm0013037
tt0404203	26000000	14821658	Kate Winslet	Jennifer Connelly	Patrick Wilson	nm0000701	nm0000124	nm0933940
tt0404390	15000000	9380029	Paul Walker	Cameron Bright	Chazz Palminteri	nm0908094	nm1080974	nm0001590
tt0404552	6000000	26018	Daryl Hannah	Denise Richards	Joaquim de Almeida	nm0000435	nm0000612	nm0021835
tt0404777	4500000	39707	Seung-bum Ryoo	So-yi Yoon	Sung-Ki Ahn	nm0753486	nm1587774	nm0014227
tt0405061	2300000	3149899	Qi Shu	Eugenia Yuan	Jesdaporn Pholdee	nm0795517	nm1067699	nm0681099
tt0405094	2000000	77356942	Ulrich Mühe	Martina Gedeck	Sebastian Koch	nm0618057	nm0311476	nm0462407
tt0405159	30000000	216763646	Hilary Swank	Clint Eastwood	Morgan Freeman	nm0005476	nm0000142	nm0000151
tt0405296	8700000	7659654	Keanu Reeves	Winona Ryder	Robert Downey Jr.	nm0000206	nm0000213	nm0000375
tt0405336	17000000	374743	Dwayne Johnson	Sarah Michelle Gellar	Seann William Scott	nm0425005	nm0001264	nm0005405
tt0405422	26000000	177378645	Steve Carell	Catherine Keener	Paul Rudd	nm0136797	nm0001416	nm0748620
tt0405469	80000000	102338515	Kiefer Sutherland	Jim Belushi	Eddie Izzard	nm0000662	nm0000902	nm0412850
tt0405676	55000000	9450897	Sean Penn	Jude Law	Kate Winslet	nm0000576	nm0000179	nm0000701
tt0405699	1000000	2617287	Yuriy Kutsenko	Lyubov Tolkalina	Aleksey Serebryakov	nm0476544	nm1408115	nm0148516
tt0405743	4755460	14000000	Til Schweiger	Johanna Wokalek	Nadja Tiller	nm0001709	nm0937557	nm0863302
tt0405821	6000000	12636656	Yûsuke Iseya	Kumiko Asô	Akira Terao	nm0410832	nm0039591	nm0855417
tt0405977	1000000	20166	Kevin Gage	Sage Stallone	Kelly K.C. Quann	nm0300824	nm0821739	nm1351583
tt0406038	500000	115314	Kip Pardue	Michael Kelly	Tess Harper	nm0661164	nm0446672	nm0002128
tt0406158	12000000	750212	Julianne Moore	Woody Harrelson	Laura Dern	nm0000194	nm0000437	nm0000368
tt0406216	1500000	54357	Oldzhas Nusupbayev	Olga Landina	Eduard Tabishev	nm1588603	nm1595040	nm1588769
tt0406219	1200000	158612	Karel Roden	Andy Nyman	Anna Geislerová	nm0734558	nm0638762	nm0312064
tt0406375	65000000	64321501	Josh Hutcherson	Jonah Bobo	Dax Shepard	nm1242688	nm1501050	nm1009277
tt0406650	6800000	351401	Jamie Bell	Allison Janney	Rory Culkin	nm0068260	nm0005049	nm0191412
tt0406754	9700000	87760	Malcolm McDowell	Marton Csokas	Ronald Pickup	nm0000532	nm0190744	nm0681975
tt0406759	12000000	56964642	Jessica Alba	Alessandro Nivola	Parker Posey	nm0004695	nm0005273	nm0000205
tt0406816	70000000	94973540	Kevin Costner	Ashton Kutcher	Sela Ward	nm0000126	nm0005110	nm0000688
tt0407121	20000000	52858433	Jim Cummings	Brenda Blethyn	Kyle Stanger	nm0191906	nm0000950	nm1821502
tt0407304	132000000	591745532	Tom Cruise	Dakota Fanning	Tim Robbins	nm0000129	nm0266824	nm0000209
tt0407814	2000000	13716	Matt McGrath	Judah Friedlander	Alan Cumming	nm0569847	nm0295103	nm0001086
tt0407852	3035400	53460	Enikõ Eszenyi	Ernõ Fekete	Zsuzsa Czinkóczi	nm0261972	nm0270847	nm0194491
tt0407887	90000000	291465034	Leonardo DiCaprio	Matt Damon	Jack Nicholson	nm0000138	nm0000354	nm0000197
tt0408236	50000000	152523164	Johnny Depp	Helena Bonham Carter	Alan Rickman	nm0000136	nm0000307	nm0000614
tt0408306	70000000	130358645	Eric Bana	Daniel Craig	Marie-Josée Croze	nm0051509	nm0185819	nm0189887
tt0408318	1871830	10626	Jakob Cedergren	Nicolas Bro	Tilly Scott Pedersen	nm0147767	nm0110334	nm1690409
tt0408345	50000000	82751189	Harrison Ford	Virginia Madsen	Paul Bettany	nm0000148	nm0000515	nm0079273
tt0408524	35000000	34252847	Billy Bob Thornton	Greg Kinnear	Marcia Gay Harden	nm0000671	nm0001427	nm0001315
tt0408790	55000000	223387299	Jodie Foster	Peter Sarsgaard	Sean Bean	nm0000149	nm0765597	nm0000293
tt0408839	60000000	127766650	Ben Stiller	Michelle Monaghan	Malin Akerman	nm0001774	nm1157358	nm0015196
tt0408985	45000000	43343247	Queen Latifah	LL Cool J	Timothy Hutton	nm0001451	nm0005112	nm0000459
tt0409034	2500000	410602	Robert Carlyle	Marisa Tomei	Mary Steenburgen	nm0001015	nm0000673	nm0005460
tt0409182	160000000	181674817	Richard Dreyfuss	Kurt Russell	Emmy Rossum	nm0000377	nm0000621	nm0002536
tt0409184	12500000	23727301	Romain Duris	Kelly Reilly	Audrey Tautou	nm0244151	nm0717709	nm0851582
tt0409345	3500000	1138322	Julia Ormond	Bill Pullman	Pell James	nm0000566	nm0000597	nm1169819
tt0409459	130000000	185258983	Jackie Earle Haley	Patrick Wilson	Carla Gugino	nm0355097	nm0933940	nm0001303
tt0409838	1200000	72810	Jordan-Claire Green	Macey Cruthird	Kris Crevani	nm1440137	nm1314002	nm1028782
tt0409847	163000000	174822325	Daniel Craig	Harrison Ford	Olivia Wilde	nm0185819	nm0000148	nm1312575
tt0409947	4000000	162717	Yun-ah Song	Hyeon-jun Shin	Seung-wook Kim	nm1032826	nm0793790	nm1615589
tt0410097	2800000	23563727	Terrence Howard	Ludacris	Anthony Anderson	nm0005024	nm0524839	nm0026364
tt0410297	40000000	114830111	Keanu Reeves	Sandra Bullock	Christopher Plummer	nm0000206	nm0000113	nm0001626
tt0410369	1500000	4904496	Haluk Bilginer	Özcan Deniz	Demet Akbag	nm0082211	nm1384721	nm0015130
tt0410377	37000000	100076342	Jodie Foster	Gerard Butler	Abigail Breslin	nm0000149	nm0124930	nm1113550
tt0410381	2124780	69626	Jan Cornet	María Vázquez	Pablo Rivero	nm1693432	nm0904808	nm0729491
tt0410403	3300000	150000	Tamlyn Tomita	Lane Nishikawa	Greg Watanabe	nm0000674	nm0632700	nm0913800
tt0410454	7500000	3347647	Sam Hennings	Eric Johnson	Alexander Carroll	nm0377462	nm0425053	nm1289674
tt0410537	1800000	178161	Ha-neul Kim	Sang-mi Nam	Hye-bin Jeon	nm6327190	nm1508878	nm1614353
tt0410730	1675000	82567	Csaba Czene	Gergely Trócsányi	Marc Bischoff	nm1581839	nm1627935	nm0083894
tt0410764	19300000	566611	Jeff Bridges	Jennifer Tilly	Jodelle Ferland	nm0000313	nm0000236	nm0272706
tt0411267	4183950	6580887	Sean Bean	Maria Bello	Sophie Stuckey	nm0000293	nm0004742	nm1552136
tt0411270	5362540	11757109	Romain Duris	Aure Atika	Emmanuelle Devos	nm0244151	nm0004133	nm0222922
tt0411272	21415758	321353	Vincent Cassel	Ludivine Sagnier	Mathieu Amalric	nm0001993	nm0756203	nm0023832
tt0411323	3000000	22282	Maria Bello	Rufus Sewell	Jason Patric	nm0004742	nm0001722	nm0000574
tt0411477	85000000	160388063	Ron Perlman	Selma Blair	Doug Jones	nm0000579	nm0004757	nm0427964
tt0411545	740000	39895	Roger Guenveur Smith	Monica Calhoun	Anna Maria Horsford	nm0809793	nm0004793	nm0395428
tt0411705	1394650	1590308	Kieran O'Brien	Margo Stilley	Black Rebel Motorcycle Club	nm0639659	nm1626256	nm1384130
tt0411951	30000000	967369	Jon Foo	Kelly Overton	Cary-Hiroyuki Tagawa	nm1463426	nm0653952	nm0846480
tt0412019	10000000	46720491	Bill Murray	Jessica Lange	Sharon Stone	nm0000195	nm0001448	nm0000232
tt0412080	25000000	18297690	Anthony Hopkins	Diane Ladd	Iain Rea	nm0000164	nm0002663	nm0713747
tt0412298	5372658	11026871	Mathilde Seigner	Anne Parillaud	Judith Godrèche	nm0782565	nm0001594	nm0002105
tt0412412	10118000	21285	Andreas Wilson	Emma Griffiths Malin	Diogo Infante	nm1270590	nm0341632	nm0408609
tt0412535	5403012	33026616	Jean Dujardin	Clovis Cornillac	Élodie Bouchez	nm0241121	nm0180404	nm0001965
tt0412536	20000000	13451186	Matthew Goode	Patrick Malahide	Hayley Atwell	nm0328828	nm0538869	nm2017943
tt0412637	5000000	659589	Steve Buscemi	Michael Pitt	Alison Lohman	nm0000114	nm0685856	nm0517844
tt0413015	20000000	27876417	Judi Dench	Bob Hoskins	Christopher Guest	nm0001132	nm0001364	nm0001302
tt0413099	175000000	173418781	Steve Carell	Morgan Freeman	Lauren Graham	nm0136797	nm0000151	nm0334179
tt0413172	2789300	6231	Nick Moran	Georgina Rylance	Pete Hodge	nm0602941	nm1142587	nm1682750
tt0413267	160000000	804438141	Mike Myers	Cameron Diaz	Eddie Murphy	nm0000196	nm0000139	nm0000552
tt0413300	258000000	890871626	Tobey Maguire	Kirsten Dunst	Topher Grace	nm0001497	nm0000379	nm0333410
tt0413895	85000000	144877632	Dakota Fanning	Julia Roberts	Oprah Winfrey	nm0266824	nm0000210	nm0001856
tt0414055	55000000	74237563	Cate Blanchett	Clive Owen	Geoffrey Rush	nm0000949	nm0654110	nm0001691
tt0414200	1517700	998041	Jeroen Krabbé	Jan Decleir	Astrid Joosten	nm0469103	nm0213912	nm1490319
tt0414290	2023600	25314	Javier Albalá	Ernesto Alterio	Luchi López	nm0016227	nm0022764	nm0530230
tt0414387	28000000	120191768	Keira Knightley	Matthew Macfadyen	Brenda Blethyn	nm0461136	nm0532193	nm0000950
tt0414413	2023600	169993	Carmen Maura	Ana Fernández	Juan Margallo	nm0560962	nm0273383	nm0546584
tt0414796	2035499	1761760	Marit Andreassen	Bernhard Arnø	Dagny Rieber Borgnes	nm0028265	nm1429815	nm2344202
tt0414851	151770	254765	Jorge Neto	Luis Ismael	J.D. Duarte	nm1645347	nm1644176	nm1644131
tt0414852	12141600	9776625	Cyril Raffaelli	David Belle	Tony D'Amario	nm0706220	nm1042642	nm0195049
tt0414853	51000000	116476887	Kevin James	Courteney Cox	Danny Glover	nm0416673	nm0001073	nm0000418
tt0414879	8499120	3116667	José Garcia	Marion Cotillard	Michel Duchaussoy	nm0305296	nm0182839	nm0239816
tt0414951	900000	381420	Camilla Belle	Elisha Cuthbert	Edie Falco	nm0004741	nm0193846	nm0004908
tt0414982	25000000	117719158	Mary Elizabeth Winstead	Ryan Merriman	Kris Lemche	nm0935541	nm0581365	nm0501210
tt0414993	35000000	15978422	Hugh Jackman	Rachel Weisz	Sean Patrick Thomas	nm0413168	nm0001838	nm0859503
tt0415080	3838500	1653771	Andy Lau	Jacky Cheung	Shawn Yue	nm0490489	nm0156484	nm1284845
tt0415127	6070800	50626	Miroslav Krobot	Tilda Swinton	Erika Bók	nm1716909	nm0842770	nm0126969
tt0415141	15000000	688145	Diane Keaton	Jon Heder	Jeff Daniels	nm0000473	nm1417647	nm0001099
tt0415160	7000000	892786	Tom Hardy	Michelle Van Der Water	Tony Todd	nm0362766	nm1836946	nm0865302
tt0415306	72500000	162966177	Will Ferrell	John C. Reilly	Sacha Baron Cohen	nm0002071	nm0000604	nm0056187
tt0415481	4000000	1732414	Oleg Kulikovich	Liya Medvedeva	Dmitriy Vysotskiy	nm0474565	nm1743005	nm7823374
tt0415678	3500000	8120875	Denis Nikiforov	Elena Panova	Andrey Panin	nm1649882	nm1335238	nm0659521
tt0415679	5000000	130051	Samantha Mumba	David Leon	Tadhg Murphy	nm0612571	nm1952567	nm1752532
tt0415689	2500000	2117269	Gyu-ri Kim	Se-eun Lee	Yu-ri Lee	nm0453589	nm1030823	nm1642097
tt0415778	5000000	208101	Cuba Gooding Jr.	Angie Harmon	James Woods	nm0000421	nm0004990	nm0000249
tt0415833	500000	40758	Seth Peterson	Bruce Davison	Chad Donella	nm0677397	nm0001117	nm0232414
tt0415856	3750000	131961	Dakota Fanning	David Morse	Piper Laurie	nm0266824	nm0001556	nm0001453
tt0415940	7000000	4385278	Aleksey Makarov	Louise Lombard	Vyacheslav Razbegaev	nm0538394	nm0518321	nm0713614
tt0415965	27000000	9411042	John Cusack	Amanda Peet	Bobby Coleman	nm0000131	nm0001605	nm1544100
tt0415978	2000000	8012838	John Hawkes	Miranda July	Miles Thompson	nm0370035	nm0432380	nm0999419
tt0416032	38000	48778	Vesela Kazakova	Assen Blatechki	Zlatina Todeva	nm1268982	nm0087807	nm1020178
tt0416044	18000000	26527510	Tadanobu Asano	Amadu Mamadakov	Khulan Chuluun	nm0038355	nm1213449	nm2153444
tt0416080	4400000	4931175	Byung-Hun Lee	Sang-mi Choo	Hyo-jin Kim	nm0496932	nm0160876	nm1043651
tt0416099	3500000	673844	Vladimir Mashkov	Egor Beroev	Andrei Rozendent	nm0556343	nm0077257	nm1649919
tt0416185	13000000	3243611	Samuel L. Jackson	Josh Hartnett	Kathryn Morris	nm0000168	nm0001326	nm0606700
tt0416212	11000000	39947322	Dakota Fanning	Jennifer Hudson	Queen Latifah	nm0266824	nm1617685	nm0001451
tt0416236	90000000	162839667	Freddie Highmore	Sarah Bolger	David Strathairn	nm0383603	nm0092961	nm0000657
tt0416292	3300000	2658588	Igor Petrenko	Elena Babenko	Bogdan Stupka	nm1214581	nm1461130	nm0836273
tt0416315	1000000	30762648	Nathan Phillips	Cassandra Magrath	Kestie Morassi	nm0680667	nm0536476	nm1040961
tt0416316	20000000	21573338	Aleksandr Bukharov	Oksana Akinshina	Igor Petrenko	nm1682614	nm0968541	nm1214581
tt0416320	15000000	85306374	Scarlett Johansson	Jonathan Rhys Meyers	Emily Mortimer	nm0424060	nm0001667	nm0607865
tt0416449	65000000	456068181	Gerard Butler	Lena Headey	David Wenham	nm0124930	nm0372176	nm0920992
