Title	Budget	Box_Office	Star1	Star2	Star3	Star_num1	Star_num2	Star_num3	Name	Year	Run_Time	Genre	Director_num	Writer_num	Average_Rating	Num_Voters	Story_Line	Ratio
tt4949628	151770	38027	Luigi Attrice	Antonio Casagrande	Marco Grieco	nm0041103	nm0142761	nm1705301	Bagnoli Jungle	2015	100	Drama	"nm8155682,nm0135724"	nm0135724	6.4	29	"A rascal in his fifties. An 80 plus Italsìder pensioner. And an 18 year old delivery boy. Three generations in the jungle. Around them, a former glorious factory."	-0.749444887
tt1166098	404720	101406	Eike Weinreich	Karoline Eichhorn	Peer Martiny	nm2424550	nm0251526	nm0554208	Die Eisbombe	2008	92	"Comedy,Drama,Romance"	nm2579540	"nm1815311,nm2579540"	6.2	110	"A young man flees his parents' house, especially his neurotic mother, after a clod of initially unknown material hits the roof of his parents' house."	-0.749442208
tt0940580	15400000	3862534	Romain Duris	John Malkovich	Evangeline Lilly	nm0244151	nm0000518	nm1431940	Afterwards	2008	104	"Drama,Mystery,Thriller"	nm0099841	"nm0818996,nm0099841,nm2520678"	5.8	3616	"Nathan, a brilliant New York lawyer who leads a life of professional success, but his private life is pretty dismal since he divorced Claire, his only love. Until he meets Doctor Kay, a mysterious doctor who introduces himself as a ""Messenger."" He claims that he can sense when certain people are about to die, and that he is sent to help them put their life in order before it's too late. Nathan doesn't believe a word of this, but soon afterwards he witnesses some disconcerting scenes which seem to confirm the doctor's claims."	-0.74918612
tt2215348	716950	179946	Gippy Grewal	Jazzy B.	Simran Kaur Mundi	nm3993149	nm2263493	nm3080120	Best of Luck	2013	133	"Action,Comedy"	nm2784117	"nm5110626,nm3057599"	5.6	337	A kidnapping of a Gangster leads two young chaps towards their bad luck. But soon they become friends with this gangster and he helps them woo the families of the girls they fall in love with.	-0.749012136
tt1715752	779086	195943	Enrico Silvestrin	Francesca Inaudi	Giulia Bevilacqua	nm0799169	nm1594999	nm1620471	Come trovare nel modo giusto l'uomo sbagliato	2011	90	Comedy	"nm3585582,nm4047683"	"nm3585582,nm0094693,nm4047683,nm4048507,nm0003262"	5.1	75	"Sofia has had a long series of wrong relationships; Alice, press-photographer of war, is forced, for lack of job, to deal with photo novels; Penelope, beautiful and distracted, is searching the ideal man. A change, however, is about to invest the life of the three friends.."	-0.748496638
tt0341569	400000	100610	Monty Lapica	Diane Venora	Michael Bowen	nm1276301	nm0893204	nm0100889	Self Medicated	2005	107	"Biography,Drama"	nm1276301	nm1276301	5.7	851	"Based on true events. On the edges of Las Vegas, 17-year-old Andrew's life is spiraling out of control. Unable to cope with the loss of his father, Andrew's descent into drugs and violence is gaining momentum, and the once promising young man is now headed for self-destruction. Andrew's mother, helpless to control her son and fighting an addiction of her own, refuses to watch idly as her only child destroys himself. As a last resort, she hires a private company to forcibly kidnap and confine him in a locked-down and corrupt psychiatric hospital. As Andrew is subjected to the secret physical and emotional abuses of the program, something inside him is re-awakened. He must somehow get free to save what's left of his life, but to do that, he knows he must first face his own demons head-on."	-0.748475629
tt2106575	2499840	628832	Flávia Alessandra	Herson Capri	Hugo Carvana	nm0018121	nm0135629	nm0142517	"Não Se Preocupe, Nada Vai Dar Certo"	2011	99	Comedy	nm0142517	nm0356824	5.5	204	"Lalau (Gregorio Duvivier) is presented by the country's interior with his show jokes, whose main theme is her father, Ramon Velasco (Tarcisio Meira), an actor who always gets into shenanigans. One day, when present in Ceará, Stan receives a tempting proposal by Flora (Flávia Alessandra), which offers $ 100,000 so he pretends to be a famous guru in a motivational speech in Rio de Janeiro. He accepts and goes to Rio without telling his father. After seeing his son on the cover of a newspaper, Ramon decides to go after him and creates many characters to ensure their part."	-0.748451201
tt2330933	1456992	366605	Wilma Rosenqvist	Merja Larivaara	Marjaana Maijala	nm5289963	nm0488214	nm0537523	Village People	2013	85	Comedy	nm0701603	"nm1493270,nm1106095"	5.5	371	"The long-time president of the Republic of Finland, Urho Kaleva Kekkonen is scheduled to visit Alli's Bar on his way to northern Finland."	-0.748382456
tt3262990	1900000	478595	Keke Palmer	Cory Hardrict	Romeo Miller	nm1551130	nm0362484	nm0999075	Brotherly Love	2015	89	Drama	nm2273232	nm2273232	6.7	1609	"Set in West Philadelphia, born-and-raised basketball star Sergio Taylor deals with the early pressures of fame. Alongside older brother June, who lost his own hoop dreams to the streets to provide for the family after their father's death, and sister Jackie , whose own musical ambitions are sidetracked by love, Sergio faces life-altering decisions on the tough streets of Philly."	-0.748108027
tt1451393	4553100	1147191	Sergio Rubini	Valeria Golino	Riccardo Scamarcio	nm0748207	nm0000420	nm1249052	The Cézanne Affair	2009	124	Comedy	nm0748207	"nm1626454,nm0748207,nm0823424"	6.5	311	"Gabriele Rossetti returns to southern Italy to say a last farewell to his father, a former stationmaster in a small town not far from Bari. The old man reawakens in him memories of his childhood, of his loving and beautiful mother and fun-seeking uncle, his friends, but also of his father's irascibility and exasperation over his thwarted attempts to realize his artistic ambitions. Ernesto was convinced he was destined to become a famous painter and was willing to sacrifice everything for the sake of his beloved masters and for his belief in his own talent, even his own pride - and this his son cannot accept, determined that he won't turn out like his father. It is only now that, years later, through chance and circumstances, Gabriele begins to understand Ernesto and to see what sort of person his father really was."	-0.748041829
