Title	Budget	Box_Office	Star1	Star2	Star3	Star_num1	Star_num2	Star_num3	Name	Year	Run_Time	Genre	Director_num	Writer_num	Average_Rating	Num_Voters	Story_Line	Ratio
tt4203158	1000000	13	Ariadna Asturzzi	German Baudino	Leandro Cóccaro	nm1748269	nm5089493	nm2069609	Dead Heart	2015	84	"Drama,Horror,Thriller"	nm1522692	"nm1522692,nm6916656"	5.9	75	"Two men kidnap the daughter of businesswoman Claudia Villegas. They take her out of the city and keep her locked up, while awaiting further instructions. The boss realizes that Villegas' daughter was never kidnapped and sends two men to the abandoned factory to clarify what happened. Upon arrival, they find the girl, hooded, and tied to a chair. There's no clue of the kidnappers either. Slowly, someone appears - they say that the heart can not feel once it's stopped beating"	-0.999987
tt1723124	1743312	24	Jo Hartley	James Doherty	Seamus O'Neill	nm0366846	nm0230577	nm0642306	Inbred	2011	90	"Comedy,Horror"	nm0151492	"nm0151492,nm4074711"	5.2	4407	"This film is about a group of four teen offenders who go to the country for the weekend with two other youth workers. They end up at an old country house near the town of Mortlake in Yorkshire. After they clean up the house so they can stay there they all head in to the village for some well earned drinks only to run in to the local ""town folk"". The next day they go to a place that has old train carriages to collect some scrap metal when they again run in to the locals, but this time it ends up with one of the youth workers being hurt badly. They go in to the village for help but it turns out to be the worst thing they could have done. The locals aren't as friendly and welcoming as they thought."	-0.999986233
tt0429277	2000000	30	Leo Grillo	Katherine Heigl	Tom Sizemore	nm0342041	nm0001337	nm0001744	Zyzzyx Rd	2006	90	"Crime,Drama,Thriller"	nm0003587	nm0003587	4	928	"The family man accountant Grant travels to Las Vegas and meets the lascivious ""Lolita"" Marissa in a casino. While in the motel with Marissa, her violent ex-boyfriend Joey surprises them on the bed, hits Grant on the head, but he kills Joey. Grant brings Joey's body to bury in the desert Zyzzyx Road, but after digging a grave, he finds that the body is missing in the trunk of his car. Grant chases Joey with a shovel in the desert, and when he finds the man hidden in a abandoned mine, Joey discloses a secret about Marissa."	-0.999985
tt5457772	13162500	239	Allu Arjun	Aadhi	Rakul Preet Singh	nm1084853	nm3942577	nm5114849	Sarrainodu	2016	159	"Action,Drama"	nm2264823	"nm2022987,nm2375127,nm2264823"	6.4	3400	"Vairam Danish a cruel person, anyone who comes against his way would be brutally killed. In such a process Ghana (All Arjun) an ex military offices earns the wrath of Vairam Dhanush. The rest of the story is how Ghana is going to finish off his atrocities"	-0.999981842
tt1356753	1214160	23	Bazarbai Matei	Serikbai Khulan	Mardan Matei	nm3286755	nm3288263	nm3286603	Eagle Hunter's Son	2009	90	"Drama,Family"	nm1595247	"nm1595247,nm0432385,nm0439685"	6.4	128	"Twelve-year-old Bazarbai is unlike other Nomad boys his age. He dreams of leaving behind the green pastures of his native Western Mongolian province, lured instead by the call of the urban jungle: Ulan Bator. But Bazarbai's father has his own aspirations: One day, the young boy will make him proud by following the famed eagle hunter's own footsteps. When Bazarbai's brother, Khan, is forced to leave home for Ulan Bator, Bazarbai feels deeply hurt and betrayed; he should have been the one sent into the big city. In an attempt to cheer him up, Bazarbai's father takes him to the great Eagle Festival; but the young boy is inconsolable. Suddenly, the prize eagle belonging to Bazarbai's father flies away, scared off by a photographer's bright camera flash. Stricken by fear and remorse that his father's beloved pet might have escaped for good, Bazarbai decides to follow the animal, thus embarking on an adventurous journey through torrential rivers and snowy mountains that inevitably lead him ..."	-0.999981057
tt0962711	4000000	95	Jonas Ball	Matthew R. Anderson	Jon Huertas	nm1383977	nm0027164	nm0005030	The Objective	2008	90	"Horror,Sci-Fi,Thriller"	nm0617130	"nm0617130,nm1844853,nm4134567"	5.5	7625	"A military special operations team, led by a CIA case officer, are on a mission in the harsh and hostile terrain of Afghanistan where they find themselves in a Middle Eastern ""Bermuda Triangle"" of ancient evil."	-0.99997625
tt0497976	2006963	57	Peter Haber	Amanda Renberg	Per Mattsson	nm0352195	nm1483697	nm0560501	All It Takes Is a Miracle	2006	97	Drama	nm0512501	"nm0392327,nm0512501"	5.8	183	Homeless man finds a bag with half a million in cash.	-0.999971599
tt0424234	2653000	78	Jue Huang	Wen Jiang	Huang Jiao	nm1645275	nm0422638	nm0422660	Letter from an Unknown Woman	2004	90	Drama	nm1292891	"nm1292891,nm0959003"	6.8	642	"Peking, 1948. A winter night. A man returns home to find a letter awaiting him written by a woman before her death. in the letter she tells him the story of her love for him -a life-long passion that has not diminished over time, but one that he has never known. her story spans 18 years from the moment she -then a 13 year-old girl- sets her eyes on her new neighbor. she tells their brief but passionate love in her youthi the hardship she goes through raising their child alone, and their final encounter after the war, during which the man fails tor ecognize her and one which leaves her in despair. Now having lost her son, she no longer has the courage to live on. Only in a letter is she capable of telling him everything, for the first and the last time. shaken by the letter, the man searches his memory for the nameless woman."	-0.999970599
tt0932669	1000000	32	Adam Beach	Tantoo Cardinal	Bradley Cooper	nm0063440	nm0001987	nm0177896	Older Than America	2008	102	Drama	nm0510022	"nm0510022,nm0907622"	5.4	823	"A woman's haunting visions reveal a Catholic priest's sinister plot to silence her mother from speaking the truth about the atrocities that took place at her Native American boarding school. A contemporary drama of suspense, this movie delves into the lasting impact of the cultural genocide and loss of identity that occurred at these institutions across the United States and Canada."	-0.999968
tt4460624	1045987	37	Frederick Schmidt	Ana Ularu	John Hannah	nm5520750	nm0880367	nm0001314	The Marker	2017	80	"Crime,Thriller"	nm0249210	nm0249210	5.5	253	Noir thriller about a criminal seeking redemption by tracking down the daughter of the woman he killed. Along the way he is haunted by his guilt in the guise of the woman's ghost.	-0.999964627
