Title	Budget	Box_Office	Star1	Star2	Star3	Star_num1	Star_num2	Star_num3	Name	Year	Run_Time	Genre	Director_num	Writer_num	Average_Rating	Num_Voters	Story_Line	Ratio
tt1872194	50000000	84419388	Robert Downey Jr.	Robert Duvall	Vera Farmiga	nm0000375	nm0000380	nm0267812	The Judge	2014	141	"Crime,Drama"	nm0229694	"nm1010405,nm4057793,nm0229694"	7.4	165771	"Hank Palmer is a successful defense attorney in Chicago, who is getting a divorce. When His brother calls with the news that their mother has died, Hank returns to his childhood home to attend the funeral. Despite the brittle bond between Hank and the Judge, Hank must come to his father's aid and defend him in court. Here, Hank discovers the truth behind the case, which binds together the dysfunctional family and reveals the struggles and secrecy of the family."	0.688387726
tt4136084	29000000	49052787	Meryl Streep	Hugh Grant	Simon Helberg	nm0000658	nm0000424	nm0374865	Florence Foster Jenkins	2016	111	"Biography,Comedy,Drama"	nm0001241	nm0552842	6.8	45981	"Florence Foster Jenkins, an heiress from NYC, always wanted to be a concert pianist and play Carnegie Hall. An injury in her youth deterred that dream, so she sets out to sing her way to Carnegie Hall, knowing the only way to get there would be, ""Practice, practice, practice"". Her husband supports her venture, and Florence Foster Jenkins' performance at Carnegie Hall becomes a truly historic event."	0.691475355
tt4080672	12900000	21835307	Laurent Lafitte	Marina Foïs	Alexandre Desrousseaux	nm0480850	nm0283997	nm6664420	Daddy or Mommy	2015	85	"Comedy,Drama,Romance"	nm1113528	"nm1141181,nm0478799,nm1584563,nm1768176"	6	3699	"Florence and Vincent Leroy are successful in business, marriage and children. Today, it's their divorce they want to succeed in. But when they both receive the promotion they've always dreamed of, their life together turns into a nightmare."	0.692659326
tt0120917	100000000	169327687	David Spade	John Goodman	Eartha Kitt	nm0005450	nm0000422	nm0457755	The Emperor's New Groove	2000	78	"Adventure,Animation,Comedy"	nm0227540	"nm0930261,nm0227540,nm0721675,nm0027459,nm2320658,nm0636236,nm0021249,nm0414226,nm0291208,nm0448208,nm0910559"	7.3	165050	"In this animated comedy from the folks at Disney, the vain and cocky Emperor Kuzco (David Spade) is a very busy man. Besides maintaining his ""groove"", and firing his suspicious administrator, Yzma (Eartha Kitt), he's also planning to build a new waterpark just for himself for his birthday. However, this means destroying one of the villages in his kingdom. Meanwhile, Yzma is hatching a plan to get revenge and usurp the throne. But, in a botched assassination courtesy of Yzma's right-hand man, Kronk (Patrick Warburton), Kuzco is magically transformed into a llama. Now, Kuzco finds himself the property of Pacha, a lowly llama herder whose home is ground zero for the water park. Upon discovering the llama's true self, Pacha offers to help resolve the Emperor's problem and regain his throne, only if he promises to move his water park."	0.693276853
tt4501454	3200000	5425148	Susan Sarandon	Rose Byrne	J.K. Simmons	nm0000215	nm0126284	nm0799777	The Meddler	2015	103	"Comedy,Drama,Romance"	nm1032521	nm1032521	6.3	10961	An aging widow from New York City follows her daughter to Los Angeles in hopes of starting a new life after her husband passes away.	0.69535822
tt0349683	120000000	203567857	Clive Owen	Stephen Dillane	Keira Knightley	nm0654110	nm0226820	nm0461136	King Arthur	2004	126	"Action,Adventure,Drama"	nm0298807	nm0291905	6.3	153295	"Based on a more realistic portrayal of ""Arthur"" than has ever been presented onscreen. The film will focus on the history and politics of the period during which Arthur ruled -- when the Roman empire collapsed and skirmishes over power broke out in outlying countries -- as opposed to the mystical elements of the tale on which past Arthur films have focused."	0.696398794
tt3007512	22500000	38176317	Russell Crowe	Olga Kurylenko	Jai Courtney	nm0000128	nm1385871	nm2541974	The Water Diviner	2014	111	"Drama,History,War"	nm0000128	"nm0460795,nm4854061"	7	67414	"After the Battle of Gallipoli, in 1915, an Australian farmer, Connor (Russell Crowe), travels to Turkey to find his 3 missing sons. While staying at a hotel in Istanbul, he meets Ayshe (Olga Kurylenko), the hotel manager. And tries to find a way to Gallipoli."	0.696725125
tt0478304	32000000	54303319	Brad Pitt	Sean Penn	Jessica Chastain	nm0000093	nm0000576	nm1567113	The Tree of Life	2011	139	"Drama,Fantasy"	nm0000517	nm0000517	6.8	158258	"The impressionistic story of a Texas family in the 1950s. The film follows the life journey of the eldest son, Jack, through the innocence of childhood to his disillusioned adult years as he tries to reconcile a complicated relationship with his father (Brad Pitt). Jack (played as an adult by Sean Penn) finds himself a lost soul in the modern world, seeking answers to the origins and meaning of life while questioning the existence of faith."	0.696978666
tt0219854	65000000	110317580	Bruce Willis	Spencer Breslin	Emily Mortimer	nm0000246	nm0107748	nm0607865	The Kid	2000	104	"Comedy,Family,Fantasy"	nm0005509	nm0920108	6.1	38494	"Russ Duritz (Bruce Willis) is a wealthy L.A. image consultant, but as he nears 40, he's cynical, dogless, chickless, estranged from his father (Daniel von Bargen), and he has no memories of his childhood. One night he surprises an intruder (Spencer Breslin), who turns out to be a kid, almost 8 years old. There's something oddly familiar about the chubby lad, whose name is Rusty. The boy's identity sparks a journey into Russ's past that the two of them take - to find the key moment that has defined who Russ is. Two long-suffering women look on with disbelief: Russ's secretary, Janet(Lily Tomlin), and his assistant, the lovely Amy, to whom Rusty takes a shine. What, and who, is at the end of this journey?"	0.697193512
tt1342121	1618	2749	Jure Ivanusic	Iva Krajnc	Anita Kravos	nm0412172	nm1189966	nm2378577	Prehod	2008	86	"Horror,Thriller"	nm0657477	"nm3246275,nm0657477,nm0805237"	5.8	58	"A painter named Vlado paints a portrait of an unknown woman. When the portrait ""becomes alive"" and the woman in the painting shows up at the artist's exhibition opening, Vlado's life is turned upside down. As Vlado becomes involved in a passionate affair with the mysterious woman, he does not even notice that he has fallen into the trap of Zom, a para-psychological organization which controls the actions of individuals by entering their thoughts, which is the meaning of ""passing"". A whirlwind of curious events and unexplained suicides takes him into a world where reality and fantasy are intertwined, a world created by a manipulative international corporation. In the world where relationships are just a means to an end and death is only an illusion, control and power are of ultimate value. Vlado realizes that he cannot trust anyone and even doubts his own sanity. However, it turns out that the naive artist is not such an easy target"	0.697961705
tt0240468	10000000	16994625	Steve Oedekerk	Fei Lung	Leo Lee	nm0644203	nm0526694	nm0497735	Kung Pow: Enter the Fist	2002	81	"Action,Comedy"	nm0644203	nm0644203	6.2	42017	"Kung Pow: Enter the Fist is a movie within a movie, created to spoof the martial arts genre. Writer/director Steve Oedekerk uses contemporary characters and splices them into a 1970s kung-fu film, weaving the new and old together. As the main character, The Chosen One, Oedekerk sets off to avenge the deaths of his parents at the hands of kung-fu legend Master Pain. Along the way, he encounters some strange characters, one of which is a cow trained in the martial arts."	0.69946233
tt5329852	500000	849857	Humberto Arango	Alejandro Buenaventura	Mauricio Figueroa	nm0033037	nm0119178	nm0276726	Armero	2017	99	Drama	nm1749624	nm1749624	6.3	164	"Based on true events, this film depicts the horrific tragedy that the small mountain side city of Armero endured when the neighboring volcano erupted and buried 25,000 of it's inhabitants alive."	0.699710601
tt0321436	6070800	10325928	Sidonie von Krosigk	Katja Riemann	Corinna Harfouch	nm0902587	nm0726257	nm0362896	Bibi Blocksberg	2002	102	"Comedy,Family,Fantasy"	nm0403101	"nm0232787,nm0684897"	5.1	723	An evil witch tries to take possession of a crystal ball from the hands of a young and benevolent witch.	0.700916897
