Title	Budget	Box_Office	Star1	Star2	Star3	Star_num1	Star_num2	Star_num3	Name	Year	Run_Time	Genre	Director_num	Writer_num	Average_Rating	Num_Voters	Story_Line	Ratio
tt1763303	2000000	92654	Dylan O'Brien	Britt Robertson	Victoria Justice	nm3729721	nm1429380	nm1842439	The First Time	2012	95	"Comedy,Drama,Romance"	nm0440459	nm0440459	6.8	63347	"One night at a friend's house party, a somewhat confident Dave meets a cool and artistic girl named Aubrey. She helps him with his romantic feelings for Jane. They talk about Dave's feelings, and he believes he should tell Jane how he feels. They soon get interrupted by the cops showing up, but decide to walk home together. As the weekend begins, the new friends start to hang out, as well as discuss their relationship... And their virginity. Dave becomes more and more interested in Aubrey, and she reciprocates. Even though she is involved with Roni (her soon to be ex), she has trouble denying her true feelings for Dave. There is one problem, however, Dave is going off to college in another city. Aubrey still has one year left of high school. Will they be able to handle a long distance relationship? Is their love strong enough? Or will Dave chose Jane, the girl of his dreams instead."	-0.953673023
tt1110266	505900	23514	Friedrich Zawrel	Florian Klenk	Caspar Einem	nm2786449	nm2784775	nm2785106	Meine liebe Republik	2007	80	Documentary	nm1037507	nm1037507	5.9	13	"As a child Friedrich Zawrel was a victim of the evil Nazi system; as part of their racial cleansing program he was imprisoned, tortured and almost murdered. He survived all that. But when the Nazi dictatorship was over, and Friedrich Zawrel sought his fortune in the new Second Republic which had been created in Austria, he found himself confronted once again by the evil spirits of his past - in the shape of the former Nazi doctor Heinrich Gross."	-0.95352055
tt0446442	10118000	471845	Juliette Binoche	John Turturro	Sara Forestier	nm0000300	nm0001806	nm1271759	A Few Days in September	2006	116	"Drama,Thriller"	nm0024887	nm0024887	5.4	1676	"September the 1st, 2001. Elliot, an American C.I.A. agent holding top secret information on the immediate future of the world, disappears. His sole aim was to meet his daughter Orlando, whom he abandoned ten years before. Irène, a French agent who used to work with him, and David, his adoptive son, will help him and lead the girl to her father. Chased by William Pound, a strangely poetic psycho, they will defy the dangers of international espionage from Paris to Venice and finally get to Elliot on September the 11th 2001."	-0.953365788
tt2211258	559900	26113	Louw Venter	Terence Bridgett	Gys de Villiers	nm1173451	nm0108811	nm0212170	Jimmy in Pienk	2013	93	"Comedy,Romance"	nm3491007	nm3491007	6.5	49	"JIMMY IN PIENK is a quirky comedy. Jimmy Bester, a rugged corn farmer lives out his creative impulses by shearing sheep on neighbouring farms. When Jimmy's father suddenly dies in a freak accident, he is confronted by two menacing and comedic loan sharks who've come to collect what his father owes them. For the first time in his life Jimmy gathers the courage to leave home and travels to Cape Town to seek help from his uncle in mastering the art of hairdressing and becoming a metro-sexual man, so he can win 100000 bucks and save his family's farm."	-0.953361398
tt8612254	3316249	154845	Jing Liang	Lixin Zhao	Landi Li	nm1424556	nm0955496	nm8461073	The Secret of Immortal Code	2018	88	"Action,Horror,Sci-Fi"	"nm9931410,nm3947950"	"nm9931414,nm9931413,nm9931415,nm9931411,nm9931412"	5.3	13	"In the near future, the world population become sick. To save her dying sister, Ziqi Lin embarks on a journey to the Arctic to seek the last hope, with guidance and help from a pharmaceutical tycoon Dr. Yao. Unknown to Ziqi is the journey of hope is indeed a dangerous conspiracy that threatens everyone's life."	-0.953307199
tt1385633	4000000	187089	Demián Bichir	Kerry Condon	James Cosmo	nm0065007	nm0174403	nm0181920	The Runway	2010	101	Comedy	nm0694405	nm0694405	6.4	563	"The Runway is inspired by the true story of a South American pilot who landed his plane near Mallow, in 1983. Against all odds, the people of the town came together to build a runway to get him home and briefly caught the imagination of the nation. It is the story of Paco, a young boy without a father who adopts the pilot and convinces the town to build a runway to get him home."	-0.953227762
tt3407614	1404000	65796	Vijay Sethupathi	Gayathrie	Mahima Nambiar	nm4043111	nm5408141	nm6446946	Puriyaadha Pudhir	2017	140	Thriller	nm6352742	nm6352742	6.6	680	A man's romance with a music teacher becomes dramatic as he begins receiving anonymous videos of her.	-0.953136786
tt1214974	623250	29321	Grant Dodwell	Don Reid	Paul Gleeson	nm0230317	nm0717237	nm0322437	Men's Group	2008	104	Drama	nm2976087	"nm2976087,nm2035673"	7.1	225	"Six strangers meet up every week to talk, finding they are not alone with their issues. Secrets are revealed as their friendships grow but when tragedy strikes, they realize that it is up to them to take responsibility for their own lives."	-0.952954749
tt1191111	16000000	754249	Nathaniel Brown	Paz de la Huerta	Cyril Roy	nm1140926	nm0209289	nm3026521	Enter the Void	2009	161	"Drama,Fantasy"	nm0637615	"nm0637615,nm0352968"	7.3	62962	"Tokyo's nasty underside, seen primarily through the eyes of Oscar, a heavy drug user, whose sister Linda is a stripper. Oscar also has flashbacks to his childhood when trauma upends the siblings. Oscar's drug-fed hallucinations alter Tokyo's already-disconcerting nights, and after the police shoot him, he can float above and look down: on his sister's sorrow, on the rooms of a love hotel, and on life at even a molecular level. The spectrum's colors can be beautiful; it's people's colorless lives that can be ugly. And what of afterlife, is there more than a void?"	-0.95285944
tt0462373	6000000	283599	Ed Stoppard	Tom Schilling	Bernadette Heerwagen	nm0832380	nm0771713	nm0373516	Joy Division	2006	105	"Drama,War"	nm1857340	"nm1546027,nm1857340"	6.2	855	"In 1944, 14-year-old Thomas is convoked to fight in the German Army. He survives, but his town is destroyed, his family dies in a bombing and his sweetheart Melanie is raped and murdered by the Russian Army. A Commissar brings the orphan Thomas to Soviet Union, and he is sent to the military school. Years later, Thomas becomes an agent of KGB and in 1962, during the Cold War, he is assigned to work in London. Living with ghosts from the past in constant fear and paranoia, he meets the black Londoner Yvonne, who gives him the strength of joy."	-0.952733508
